iter	Passed	Remaining
470	676	760
471	677	758
472	678	756
473	679	754
474	680	751
475	681	749
476	682	747
477	682	745
478	683	743
479	684	742
480	686	740
481	687	738
482	688	737
483	689	735
484	690	733
485	691	731
486	692	729
487	693	727
488	694	725
489	695	723
490	696	721
491	697	719
492	698	718
493	699	716
494	699	714
495	701	712
496	702	711
497	703	709
498	704	707
499	705	705
500	706	703
501	707	701
502	708	699
503	709	698
504	710	696
505	711	694
506	711	692
507	712	690
508	713	688
509	714	686
510	715	684
511	716	683
512	717	681
513	718	679
514	719	677
515	720	675
516	721	673
517	722	672
518	723	670
519	724	668
520	725	666
521	726	664
522	726	663
523	727	661
524	728	659
525	729	657
526	731	656
527	732	655
528	733	653
529	734	651
530	735	649
531	736	648
532	737	646
533	738	644
534	739	642
535	740	640
536	741	639
537	742	637
538	743	635
539	743	633
540	744	631
541	746	630
542	747	628
543	748	627
544	749	625
545	750	623
546	750	621
547	751	620
548	752	618
549	753	616
550	754	614
551	755	613
552	756	611
553	757	609
554	758	607
555	758	606
556	759	604
557	760	602
558	762	601
559	763	599
560	764	598
561	765	596
562	766	594
563	767	593
564	768	591
565	769	589
566	770	588
567	770	586
568	771	584
569	772	583
570	773	581
571	774	579
572	775	577
573	776	576
574	777	574
575	779	573
576	780	571
577	781	570
578	781	568
579	782	566
580	783	565
581	784	563
582	785	561
583	786	560
584	787	558
585	788	556
586	788	555
587	789	553
588	790	551
589	792	550
590	793	549
591	794	547
592	795	546
593	796	544
594	797	542
595	798	541
596	799	539
597	800	537
598	800	536
599	801	534
600	802	532
601	803	531
602	804	529
603	805	528
604	806	526
605	807	525
606	808	523
607	809	521
608	810	520
609	811	518
610	812	517
611	813	515
612	814	514
613	815	512
614	815	510
615	816	509
616	817	507
617	818	506
618	819	504
619	820	502
620	821	501
621	822	499
622	823	498
623	824	496
624	825	495
625	826	493
626	827	492
627	828	490
628	829	489
629	830	487
630	830	485
631	831	484
632	832	482
633	833	481
634	834	479
635	835	478
636	836	476
637	837	475
638	838	473
639	839	472
640	840	470
641	841	469
642	842	467
643	843	466
644	844	464
645	844	463
646	845	461
647	846	459
648	847	458
649	848	456
650	850	455
651	851	454
652	852	452
653	853	451
654	854	449
655	855	448
656	856	446
657	856	445
658	857	443
659	858	442
660	859	440
661	860	439
662	861	437
663	862	436
664	863	434
665	864	433
666	865	431
667	865	430
668	866	428
669	867	427
670	868	425
671	869	424
672	870	423
673	871	421
674	872	420
675	873	418
676	874	417
677	875	415
678	876	414
679	877	412
680	878	411
681	879	409
682	879	408
683	880	407
684	881	405
685	882	404
686	884	402
687	885	401
688	885	399
689	886	398
690	887	397
691	888	395
692	889	394
693	890	392
694	891	391
695	892	389
696	893	388
697	894	386
698	895	385
699	895	383
700	896	382
701	897	381
702	899	379
703	900	378
704	901	377
705	902	375
706	902	374
707	903	372
708	904	371
709	905	370
710	906	368
711	907	367
712	908	365
713	909	364
714	910	362
715	911	361
716	912	360
717	913	358
718	915	357
719	916	356
720	917	354
721	918	353
722	919	352
723	920	350
724	920	349
725	921	347
726	922	346
727	923	345
728	924	343
729	925	342
730	926	340
731	927	339
732	928	338
733	929	337
734	931	335
735	931	334
736	932	332
737	933	331
738	934	330
739	935	328
740	936	327
741	937	325
742	938	324
743	938	323
744	939	321
745	940	320
746	941	318
747	942	317
748	944	316
749	945	315
750	946	313
751	947	312
752	948	311
753	949	309
754	950	308
755	951	306
756	951	305
757	952	304
758	953	302
759	954	301
760	955	300
761	956	298
762	957	297
763	958	296
764	959	294
765	960	293
766	961	292
767	962	290
768	963	289
769	964	288
770	965	286
771	966	285
772	967	284
773	968	282
774	968	281
775	969	279
776	970	278
777	971	277
778	972	275
779	973	274
780	974	273
781	975	271
782	976	270
783	977	269
784	978	267
785	979	266
786	980	265
787	981	263
788	982	262
789	982	261
790	983	259
791	984	258
792	985	257
793	986	256
794	987	254
795	988	253
796	990	252
797	991	251
798	993	249
799	994	248
800	995	247
801	996	246
802	997	244
803	999	243
804	1000	242
805	1001	240
806	1002	239
807	1003	238
808	1004	237
809	1005	235
810	1006	234
811	1007	233
812	1008	232
813	1009	230
814	1010	229
815	1011	228
816	1012	226
817	1013	225
818	1015	224
819	1016	223
820	1016	221
821	1017	220
822	1018	219
823	1020	217
824	1021	216
825	1022	215
826	1023	214
827	1024	212
828	1025	211
829	1026	210
830	1027	208
831	1028	207
832	1029	206
833	1031	205
834	1032	203
835	1033	202
836	1034	201
837	1035	200
838	1036	198
839	1037	197
840	1038	196
841	1039	195
842	1040	193
843	1041	192
844	1042	191
845	1043	190
846	1044	188
847	1045	187
848	1046	186
849	1047	184
850	1048	183
851	1050	182
852	1051	181
853	1052	179
854	1053	178
855	1054	177
856	1055	176
857	1056	174
858	1057	173
859	1058	172
860	1059	171
861	1060	169
862	1061	168
863	1062	167
864	1063	165
865	1064	164
866	1065	163
867	1066	162
868	1067	160
869	1068	159
870	1069	158
871	1070	157
872	1071	155
873	1072	154
874	1072	153
875	1073	152
876	1074	150
877	1075	149
878	1076	148
879	1077	146
880	1078	145
881	1079	144
882	1080	143
883	1082	141
884	1083	140
885	1084	139
886	1085	138
887	1086	136
888	1087	135
889	1088	134
890	1089	133
891	1089	131
892	1090	130
893	1091	129
894	1092	128
895	1093	126
896	1094	125
897	1095	124
898	1096	123
899	1097	121
900	1098	120
901	1099	119
902	1100	118
903	1101	116
904	1102	115
905	1103	114
906	1103	113
907	1104	111
908	1105	110
909	1106	109
910	1107	108
911	1108	106
912	1109	105
913	1110	104
914	1111	103
915	1112	102
916	1113	100
917	1114	99
918	1115	98
919	1116	97
920	1117	95
921	1117	94
922	1119	93
923	1119	92
924	1120	90
925	1121	89
926	1122	88
927	1123	87
928	1124	85
929	1125	84
930	1127	83
931	1128	82
932	1129	81
933	1129	79
934	1131	78
935	1132	77
936	1133	76
937	1133	74
938	1134	73
939	1135	72
940	1136	71
941	1137	70
942	1138	68
943	1139	67
944	1140	66
945	1141	65
946	1142	63
947	1143	62
948	1144	61
949	1145	60
950	1146	59
951	1147	57
952	1148	56
953	1149	55
954	1150	54
955	1151	52
956	1152	51
957	1153	50
958	1154	49
959	1155	48
960	1156	46
961	1157	45
962	1158	44
963	1159	43
964	1160	42
965	1161	40
966	1162	39
967	1163	38
968	1164	37
969	1164	36
970	1165	34
971	1166	33
972	1168	32
973	1169	31
974	1170	30
975	1170	28
976	1172	27
977	1173	26
978	1174	25
979	1175	23
980	1176	22
981	1177	21
982	1177	20
983	1178	19
984	1180	17
985	1180	16
986	1181	15
987	1182	14
988	1183	13
989	1184	11
990	1185	10
991	1186	9
992	1187	8
993	1188	7
994	1189	5
995	1190	4
996	1191	3
997	1192	2
998	1193	1
999	1194	0
